Age,Experience,Salary
56,32,31382
46,24,25882
32,11,11397
60,41,38441
25,2,4151
38,16,18625
56,37,36314
36,16,15185
40,16,17580
28,5,9229
28,8,9518
41,21,21441
53,31,29760
57,37,36754
41,20,16863
20,0,3316
39,17,15504
19,0,3400
41,23,21045
61,42,37437
47,28,25028
55,36,33133
19,0,4990
38,15,15200
50,32,31745
29,6,9945
39,19,22031
61,37,34437
42,23,22147
44,20,17502
59,38,33407
45,23,21988
33,11,12325
32,9,14363
64,41,36769
61,40,33567
20,1,5196
54,30,28989
24,0,2791
38,20,22951
26,6,5475
56,34,33194
35,15,15263
21,3,4394
42,19,22640
31,7,10325
26,4,6272
43,23,21781
19,0,3793
37,19,18247
45,25,25849
64,40,36411
24,5,9006
61,38,34931
25,7,10404
64,44,41498
52,28,28961
31,12,13956
34,15,14380
53,35,31801
57,36,32900
21,0,2560
19,0,2269
23,1,4521
59,41,35505
21,2,3253
46,27,22978
35,17,18020
43,22,21971
61,39,34932
51,31,30311
27,9,9241
53,31,29431
31,7,9301
48,26,23648
32,9,10101
25,6,7445
31,11,12799
40,22,22290
57,38,33900
38,15,14691
33,10,11865
62,43,36162
35,14,14951
64,42,40222
41,23,21164
43,25,23594
42,24,24576
62,43,39772
58,34,31452
46,25,23832
32,12,11386
62,39,36176
18,0,1344
42,18,15142
24,4,8192
26,3,6500
41,18,19539
18,0,2255
61,39,36119
25,7,8441
41,21,20129
28,9,12220
34,14,14655
25,3,4855
52,34,29191
52,32,30181
50,28,27989
22,3,4665
59,38,35613
56,32,28305
58,35,33283
45,26,24749
24,6,8681
26,3,4873
25,1,4836
29,10,10683
51,32,28999
50,31,26523
40,21,19441
41,18,17431
54,36,33349
52,28,27333
61,39,34508
57,37,33493
39,18,20709
44,20,20076
52,32,28834
18,0,840
52,31,27559
54,30,26740
64,41,40046
31,13,12747
20,0,3476
18,0,3916
22,0,5099
43,23,22272
31,13,13254
56,33,29655
44,21,21214
26,4,5693
32,11,10783
32,10,10874
43,23,20273
59,38,37355
30,10,12494
49,27,28011
56,32,30448
49,26,27066
21,1,4771
47,26,25829
54,33,27279
40,20,18428
56,35,32175
62,39,35531
32,8,9925
60,37,34479
46,25,24661
53,33,31757
30,8,11003
49,28,28186
24,3,7698
39,18,18441
45,24,26222
19,0,5418
59,37,32569
62,40,36828
23,5,4696
45,24,20588
45,24,22350
61,43,37306
61,39,34679
37,18,18632
47,24,24977
28,9,12517
45,23,22919
42,18,16609
56,35,31283
50,31,29755
18,0,2120
44,24,21179
30,12,13938
58,36,32887
20,0,3083
56,37,35384
23,2,6693
25,3,8571
44,25,22902
26,7,9764
54,31,28908
50,27,26107
59,37,32078
61,42,35716
41,23,22159
32,14,13576
49,26,26187
49,27,23328
41,20,17692
58,34,30735
29,11,10072
56,38,37034
19,0,3105
20,0,2495
54,32,30381
34,11,13805
19,0,3690
19,0,3277
45,26,23224
40,22,22346
54,34,33405
49,28,26050
50,30,26726
18,0,3632
36,15,15723
19,0,1555
61,38,33865
43,23,24942
49,27,23558
23,5,6424
49,25,22556
21,0,2129
28,8,9291
34,16,17152
55,35,34062
41,18,18524
22,4,5613
51,28,28729
23,3,2757
39,18,19190
28,4,5219
33,14,14783
50,26,25644
26,5,5111
23,0,3672
33,9,11187
46,23,24513
20,0,7472
37,19,16610
53,31,30985
36,13,14063
43,19,17847
20,0,3953
36,12,11366
37,16,14676
49,30,25377
24,1,5099
58,35,32650
50,27,24378
57,39,37625
56,33,29525
35,14,16824
57,37,33923
18,0,2345
28,4,6587
45,22,19619
42,24,23365
40,19,19045
48,25,24751
47,29,28458
59,39,35553
52,33,28225
24,1,5678
33,12,13281
43,25,21018
19,1,4644
18,0,3937
29,11,11842
22,3,5543
54,36,31987
49,25,24604
26,4,6929
58,34,29997
52,30,30466
36,18,17121
33,10,7600
20,0,2693
37,16,18086
41,19,18710
50,26,22347
41,23,20677
28,5,5938
25,5,6637
53,30,27667
55,32,30440
57,34,31532
37,16,16804
52,33,33109
42,18,19531
52,34,32399
42,23,19520
46,26,23592
35,16,14104
63,45,39106
35,11,13692
19,0,2790
52,34,32848
33,13,15099
58,40,36235
53,33,32104
50,30,30046
21,3,6501
50,28,26744
31,7,10170
38,18,16050
37,19,18763
25,3,5864
24,0,2926
20,0,2215
34,10,13177
50,28,26655
29,5,7971
39,18,20316
39,16,16287
63,42,37276
47,25,25981
55,35,29863
55,37,33776
62,43,37533
25,7,9539
44,20,20737
44,25,24821
51,32,31159
38,14,14581
47,23,22054
50,30,28789
45,23,23631
64,46,39129
50,28,26871
22,1,3647
36,16,16650
21,1,3684
52,31,27755
34,16,14952
61,38,34393
45,24,23637
47,29,26235
46,27,27304
63,39,39147
23,3,6479
52,34,31178
58,36,31591
54,30,28635
41,19,21235
46,22,24442
63,43,40754
48,27,26824
52,29,27855
50,29,25626
38,20,19610
49,28,26056
40,20,19660
50,32,28520
20,1,5336
35,14,14489
42,21,20107
59,36,31905
48,30,28308
20,0,5645
57,36,32924
63,43,39082
41,20,22722
49,26,26585
64,45,41161
39,16,17398
40,19,18095
19,0,2328
44,20,20092
59,38,34830
19,1,2905
43,22,22514
34,12,12864
57,39,37030
50,30,27916
26,8,9704
60,37,32393
56,37,32478
46,23,24296
59,35,32583
43,25,24443
52,32,32040
42,21,18663
41,23,23226
30,7,6818
24,6,7623
53,35,30342
62,44,40727
37,17,14505
18,0,3014
25,3,4161
63,45,38977
33,13,13008
31,11,14398
29,5,7077
40,22,23990
32,9,13744
45,22,24670
51,32,29531
19,1,4495
49,30,28546
40,17,16848
39,16,17216
42,24,21637
39,20,16966
39,20,20851
59,41,36455
23,0,1994
32,13,12764
60,36,35272
54,33,31176
50,27,23316
25,3,4119
61,37,33382
61,37,34534
22,0,2248
56,36,32660
21,2,5191
23,4,6862
62,42,34247
49,30,28312
47,27,22940
64,40,35850
52,34,30487
57,36,31321
33,9,12124
30,9,9114
59,36,32195
47,23,23658
36,14,14092
34,15,14542
36,14,14517
45,27,26310
43,22,23629
54,30,26675
43,25,22577
40,22,20985
26,7,9465
29,11,11224
18,0,4392
18,0,1984
64,43,35828
51,27,26417
49,27,26551
42,21,22206
57,38,31552
62,41,36041
18,0,2983
33,11,15095
56,36,32681
22,2,3020
39,16,17025
46,22,23484
20,1,5844
29,11,13222
43,23,22653
33,12,9858
54,36,32918
39,18,18447
46,25,23680
31,13,15080
45,27,25236
22,0,2887
64,43,40238
47,28,25719
63,39,35556
22,0,4786
29,6,6863
33,11,10781
43,24,25096
43,19,18170
38,15,16798
56,32,27057
53,35,28305
50,27,26146
47,26,24548
54,32,30240
40,17,20212
27,6,6483
22,0,3497
53,34,33476
51,28,24780
48,27,24682
27,3,3289
36,12,16676
49,25,20673
18,0,4557
22,4,4660
62,43,37063
21,2,6615
33,11,11346
41,17,18397
33,12,15330
19,0,3681
45,23,23633
49,25,24101
44,24,23270
37,18,17187
41,21,23513
29,5,8694
52,30,28822
50,29,28355
50,28,25384
60,39,36796
54,33,32813
29,5,5508
20,2,5812
18,0,3454
50,31,28021
57,35,30500
27,6,9917
60,36,33311
61,37,33509
46,24,23933
30,8,9808
29,8,8923
48,25,24153
63,43,38617
19,0,718
52,33,29495
40,17,15503
34,16,14002
43,20,20561
25,7,8096
46,28,27882
43,20,17117
27,8,9493
43,23,21336
51,32,27253
58,34,31367
24,5,5244
21,2,5354
62,39,36521
28,5,7961
46,22,22110
53,29,28806
42,19,18999
38,19,17720
53,33,29546
27,9,9858
54,32,28114
26,8,11096
41,17,18210
52,28,23942
52,34,30000
53,31,27222
35,16,16976
56,36,34534
49,29,27852
41,23,21168
40,18,17721
49,25,21890
54,33,28505
29,10,12849
30,12,15366
40,20,18727
42,18,18312
52,29,28320
58,35,29664
47,25,22366
34,12,16270
37,19,17503
42,21,20097
39,19,18075
30,12,10207
36,15,15844
53,29,27222
29,7,9451
58,35,32033
36,17,16630
29,5,6804
26,3,5169
24,4,5196
45,25,22649
31,8,8562
48,24,24020
36,13,14579
64,43,38720
33,15,18573
22,0,2051
52,31,30518
29,10,11189
42,19,19275
38,19,19966
53,34,30543
40,19,17414
33,11,11122
56,32,26560
62,42,38750
59,41,37854
56,36,35295
31,9,11442
48,28,27342
22,0,3317
52,29,27937
40,19,20634
46,27,25792
60,38,33818
28,6,8029
35,15,16827
64,43,37943
29,9,12113
26,6,11182
27,5,8892
61,41,38140
34,15,16201
55,35,30934
24,5,6178
63,41,35743
30,9,11632
57,34,30755
59,40,36136
26,5,8147
44,23,21019
19,0,2627
22,0,3924
46,28,25883
54,33,30183
55,34,29751
36,14,14644
25,3,8378
62,42,37170
18,0,1639
39,18,19617
34,15,16465
24,6,8598
42,18,16262
62,42,36075
21,0,1114
53,34,31907
23,5,8989
48,30,28657
36,18,21044
61,38,33957
56,37,33234
44,24,23239
27,7,8795
43,25,24608
36,17,16360
56,33,28427
20,2,2315
62,40,36960
30,6,7611
45,25,22145
