Age,Salaire
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0 
14,0 
15,0 
16,0 
17,800 
18,1000 
19,1200 
20,1250 
21,5400 
22,5400 
23,5400 
24,5400 
25,6000 
26,6000 
27,6000 
28,6000 
29,8000 
30,8000 
31,8000 
32,8000 
33,8000 
34,8000 
35,8000 
36,8000 
37,8000 
38,8000 
39,8000 
40,12000 
41,12000 
42,12000 
43,12000 
44,12000 
45,12000 
46,12000 
47,12000 
48,12000 
49,12000 
50,12000 
51,12000 
52,12000 
53,12000 
54,12000 
55,12000 
56,12000 
57,12000 
58,12000 
59,12000 
60,12000 
61,12000 
62,12000 
63,12000 
64,12000 
65,4000 
66,4000 
67,4000 
68,4000 
69,4000 
70,4000 
71,4000 
72,4000 
73,4000 
74,4000 
75,4000 
76,4000 
77,4000 
78,4000 
79,4000 
80,4000 
81,4000 
82,4000 
83,4000 
84,4000 
85,4000 
86,4000 
87,4000 
88,4000 
89,4000 
90,4000 
91,4000
92,4000 
93,4000 
94,4000 
95,4000 
96,4000 
97,4000 
98,4000 
99,4000 
100,4000 
101,4000 
102,4000 
103,4000 
104,4000 
105,4000
